filename,width,height,class,xmin,ymin,xmax,ymax
00873.jpeg,158,158,ZSU_23_4,48,52,109,107
00867.jpeg,158,158,ZSU_23_4,50,48,101,113
02080.jpeg,158,158,2S1,50,54,115,107
01589.jpeg,128,128,BTR70,39,57,82,96
00697.jpeg,128,128,T72,31,45,94,90
00683.jpeg,128,128,T72,35,45,104,88
02094.jpeg,158,158,2S1,46,56,113,103
00668.jpeg,128,128,T72,43,49,90,94
01576.jpeg,128,128,BTR70,33,35,92,90
01210.jpeg,128,129,BRDM_2,48,52,89,90
02719.jpeg,192,193,ZIL131,57,74,120,134
01204.jpeg,128,129,BRDM_2,44,52,83,90
01562.jpeg,128,128,BTR70,35,41,94,90
00654.jpeg,128,128,T72,33,45,90,94
02043.jpeg,158,158,2S1,44,60,115,103
02725.jpeg,192,193,ZIL131,61,64,132,126
00132.jpeg,128,128,BTR60,43,55,84,96
01238.jpeg,128,129,BRDM_2,34,44,89,92
00126.jpeg,128,128,BTR60,33,41,92,84
02731.jpeg,192,193,ZIL131,59,58,126,134
02057.jpeg,158,158,2S1,52,40,107,113
00640.jpeg,128,128,T72,33,47,96,90
00898.jpeg,158,158,ZSU_23_4,46,56,109,107
01953.jpeg,158,158,2S1,52,48,111,109
00495.jpeg,172,173,T62,53,52,116,120
02282.jpeg,128,128,BMP2,37,39,86,86
02296.jpeg,128,128,BMP2,45,37,88,92
01947.jpeg,158,158,2S1,52,46,103,111
00481.jpeg,172,173,T62,46,62,121,116
01012.jpeg,158,158,ZSU_23_4,46,56,111,109
01774.jpeg,177,178,D7,59,58,113,117
02269.jpeg,128,128,BMP2,37,39,92,90
01760.jpeg,177,178,D7,47,56,119,113
00318.jpeg,172,173,T62,48,56,116,118
01006.jpeg,158,158,ZSU_23_4,48,56,111,109
00330.jpeg,172,173,T62,55,50,116,118
02527.jpeg,192,193,ZIL131,61,66,132,124
02241.jpeg,128,128,BMP2,41,45,82,94
01748.jpeg,177,178,D7,51,52,115,115
01990.jpeg,158,158,2S1,44,48,109,111
00456.jpeg,172,173,T62,57,52,114,120
01984.jpeg,158,158,2S1,46,56,115,109
00442.jpeg,172,173,T62,53,50,116,116
02255.jpeg,128,128,BMP2,35,47,88,90
02533.jpeg,192,193,ZIL131,57,68,126,132
00324.jpeg,172,173,T62,50,58,116,116
02490.jpeg,192,193,ZIL131,61,62,130,128
00287.jpeg,172,173,T62,50,56,116,114
01199.jpeg,128,129,BRDM_2,32,46,91,88
01827.jpeg,177,178,D7,57,56,113,117
01833.jpeg,177,178,D7,57,60,123,115
00293.jpeg,172,173,T62,50,56,121,112
02484.jpeg,192,193,ZIL131,57,70,128,126
01166.jpeg,128,129,BRDM_2,36,44,95,82
00278.jpeg,172,173,T62,50,66,120,116
01600.jpeg,128,128,BTR70,47,55,90,90
02309.jpeg,128,128,BMP2,37,41,90,86
01614.jpeg,128,128,BTR70,39,45,84,98
01172.jpeg,128,129,BRDM_2,40,40,85,92
00244.jpeg,128,128,BTR60,39,35,84,88
02453.jpeg,192,193,ZIL131,56,68,139,122
02335.jpeg,128,128,BMP2,33,45,94,88
00522.jpeg,172,173,T62,55,58,118,120
00536.jpeg,172,173,T62,57,52,114,122
01628.jpeg,177,178,D7,57,54,117,117
02321.jpeg,128,128,BMP2,33,47,92,86
02447.jpeg,192,193,ZIL131,56,68,130,130
00250.jpeg,128,128,BTR60,31,45,92,84
00907.jpeg,158,158,ZSU_23_4,46,54,111,107
00913.jpeg,158,158,ZSU_23_4,44,58,109,107
00085.jpeg,128,128,BTR60,37,35,88,88
02692.jpeg,192,193,ZIL131,63,62,126,132
02686.jpeg,192,193,ZIL131,61,64,130,128
00091.jpeg,128,128,BTR60,35,37,90,84
01402.jpeg,128,128,BTR70,37,55,82,96
01364.jpeg,128,129,BRDM_2,40,52,81,90
02679.jpeg,192,193,ZIL131,50,70,134,124
01370.jpeg,128,129,BRDM_2,46,52,87,92
01416.jpeg,128,128,BTR70,31,39,94,90
00708.jpeg,128,128,T72,29,47,92,88
00720.jpeg,128,128,T72,37,41,88,96
02137.jpeg,158,158,2S1,50,48,105,111
02651.jpeg,192,193,ZIL131,67,74,130,136
00046.jpeg,128,128,BTR60,31,43,92,84
01358.jpeg,128,129,BRDM_2,36,38,89,86
00052.jpeg,128,128,BTR60,31,45,92,82
02645.jpeg,192,193,ZIL131,61,74,122,134
02123.jpeg,158,158,2S1,48,50,111,113
00734.jpeg,128,128,T72,37,39,86,92
02644.jpeg,192,193,ZIL131,57,60,130,132
00053.jpeg,128,128,BTR60,41,45,82,92
00735.jpeg,128,128,T72,33,45,94,92
02122.jpeg,158,158,2S1,44,52,113,109
02136.jpeg,158,158,2S1,46,48,109,113
00721.jpeg,128,128,T72,33,43,88,92
01359.jpeg,128,129,BRDM_2,40,44,87,90
00047.jpeg,128,128,BTR60,35,37,90,84
02650.jpeg,192,193,ZIL131,57,62,130,128
01371.jpeg,128,129,BRDM_2,36,42,87,92
02678.jpeg,192,193,ZIL131,67,60,124,130
00709.jpeg,128,128,T72,39,45,88,96
01417.jpeg,128,128,BTR70,33,37,90,90
01403.jpeg,128,128,BTR70,31,41,96,86
01365.jpeg,128,129,BRDM_2,36,38,89,88
00090.jpeg,128,128,BTR60,33,45,90,88
02687.jpeg,192,193,ZIL131,57,72,130,126
02693.jpeg,192,193,ZIL131,65,58,128,128
00084.jpeg,128,128,BTR60,37,43,90,94
00912.jpeg,158,158,ZSU_23_4,46,56,111,103
00906.jpeg,158,158,ZSU_23_4,50,50,105,109
02320.jpeg,128,128,BMP2,33,49,96,88
01629.jpeg,177,178,D7,59,58,115,117
00537.jpeg,172,173,T62,51,54,121,114
00251.jpeg,128,128,BTR60,31,43,94,84
02446.jpeg,128,128,BMP2,33,45,88,90
02452.jpeg,192,193,ZIL131,56,68,130,128
00245.jpeg,128,128,BTR60,33,45,92,86
00523.jpeg,172,173,T62,53,54,112,118
02334.jpeg,128,128,BMP2,29,49,90,88
01615.jpeg,128,128,BTR70,35,43,92,90
01173.jpeg,128,129,BRDM_2,32,54,75,92
00279.jpeg,172,173,T62,51,56,123,112
01167.jpeg,128,129,BRDM_2,34,22,97,98
02308.jpeg,128,128,BMP2,33,45,90,90
01601.jpeg,128,128,BTR70,29,43,94,82
01832.jpeg,177,178,D7,53,56,117,117
02485.jpeg,192,193,ZIL131,63,74,122,132
00292.jpeg,172,173,T62,57,62,112,120
01198.jpeg,128,129,BRDM_2,40,50,81,90
00286.jpeg,172,173,T62,46,60,121,110
02491.jpeg,192,193,ZIL131,56,68,132,126
01826.jpeg,177,178,D7,59,58,115,121
02254.jpeg,128,128,BMP2,35,43,90,94
00443.jpeg,172,173,T62,53,52,120,116
01985.jpeg,158,158,2S1,42,48,111,111
00325.jpeg,172,173,T62,51,52,120,116
02532.jpeg,192,193,ZIL131,57,74,122,134
02526.jpeg,192,193,ZIL131,63,62,126,132
00331.jpeg,172,173,T62,50,58,118,118
00457.jpeg,172,173,T62,53,52,116,120
01991.jpeg,158,158,2S1,54,68,103,111
01749.jpeg,177,178,D7,57,60,121,117
02240.jpeg,128,128,BMP2,33,49,92,86
01761.jpeg,177,178,D7,57,60,123,113
02268.jpeg,128,128,BMP2,33,43,84,92
01007.jpeg,158,158,ZSU_23_4,48,52,109,107
00319.jpeg,172,173,T62,55,50,114,120
01013.jpeg,158,158,ZSU_23_4,48,52,107,109
